Height	Weight	GPA	LArm	RArm	LFoot	RFoot	Sex
67	140	2.79	25.4	26.7	25.4	24.1	1
71	174	3.67	25.4	26.7	26.7	26.7	0
60	118	3.34	23	23	20.5	21.5	1
64.5	133	3.13	24.5	24.5	25	25.5	1
61.5	107	3.49	23	23	23	24	1
64	145	2.58	24	25	23	23	1
66	150	2.89	24	25	25.5	26	0
70.5	165	?	28	28	28	28	1
69	143	2.9	25	25	25	24.5	1
70	155	3.14	25.5	26.5	27	26.5	1
64	138	3.69	23.5	23.5	24	23.5	1
62	147	2.9	23.5	23.5	21.5	23	1
77	245	2.91	24	26	29	29.5	0
62	130	3.2	22.5	23	21.5	21	1
69	135	2.47	24.5	24.5	25.5	26	1
70	150	2.98	29	29	27	28	0
71	135	1.9	25.5	26	25.8	26.8	0
71.5	160	3.2	28.6	28.1	27.4	28.5	0
67.5	110	3.9	28	28.5	24.5	25	1
69	155	2.7	25.5	25.5	27	26.5	0
63	96	2.93	23	23	22	22	1
65	140	3.4	25	24	23	25.5	1
66.5	120	3.33	24	24	24	22	1
67	130	3.3	26.5	26.5	23	22	1
73	155	3	26.5	27	27	26.5	0
63	105	3.56	25	26.5	24	23	1
73	160	2.55	26.5	27	27	27.5	0
63	112	3	23	24	23	22	1
68	125	3.39	25	25	25	24.5	1
69	132	3.1	25.5	25.5	25	25	1
69	175	3	23.5	26	27	25.5	1
63	150	2.9	24	24	23.5	24	1
64	105	3.62	21	23	22.3	22	1
69	135	?	28	25.5	26.5	26	1
63	134	2.8	24	23.5	24	23.5	1
64	115	2.75	24	23	23	22	1
63	123	2.4	24	24	24	23.5	1
67	170	3.28	28	27.5	24.5	24.5	1
71	162	3.9	23.5	23	27	27.5	0
68	140	3.65	24.5	22.8	24.7	24.5	1
64	115	2.67	24	24.5	24.7	24.3	1
73	205	3.1	29	29	27.5	27.5	0
67.5	130	3	24	23.5	26	24.5	1
67	145	1.83	24.6	24.3	26	26.3	1
60.5	125	2.7	24.1	24.1	24.4	23.9	1
69	180	3.86	25.5	25.5	29	29	0
65.5	135	3.52	24.5	25	24	24	1
64	140	2.1	25	24.5	22.5	22.5	1
76	185	3	28	27	30	30	0
64	135	3.4	25	24.5	23	22.5	1
63	127	3.3	22	22	24	25	1
62	115	2.17	23.5	24	22.7	23	1
62	135	?	25	25	22.8	23	1
70.5	142	3.58	24.5	25	26	26.5	1
67	140	3.44	24	24.5	25	24.5	1
68	135	2.2	24	24	25.5	25.5	1
71	178	3.2	29.5	28.5	29	28.5	0
67	135	?	25	25	25.5	25	1
64	127	2.2	26.5	26.5	26.5	26.5	1
70	153	3.17	22	22	23.5	23.5	1
62	110	3.44	21.5	21.5	23.5	22.5	1
73	165	3.62	28	28.4	30.6	31.4	0
79	165	2.45	28	25	29	27.5	0
75	160	3.8	27.5	27.5	29	27.6	0
71	170	3.2	28	27	31	31.3	0
65	117	2.7	24.1	24.1	24.1	24.1	1
69.5	185	3.2	26.5	27	27	27	0
