        1    116250        50      31.5
        2    217180      60.8        33
        3     43436      45.1        45
        4    159265      56.4      53.9
        5    130308      53.3      63.9
        6     72393      46.9      74.5
        7    174740      57.8      79.4
        8    101351      50.6      75.3
        9    144787        55      68.7
       10     28957      35.8      53.7
       11    173744      57.9      47.6
       12     86872      49.9      38.4
       13    108420        51      28.7
       14    203288      62.9      34.4
       15     40658      45.1      43.9
       16    149078      55.2      51.1
       17    121973      53.7      63.4
       18     67763      47.2        73
       19    163130      56.1      80.5
       20     94858      48.3      79.8
       21    135525      54.7        68
       22     27105      45.4      52.6
       23    162631      56.5      48.9
       24     81315      47.7      35.5
       25    114890      51.3        37
       26    217726      61.6      34.2
       27     43084      45.9      42.4
       28    157973      55.2      52.5
       29    129910      53.6      63.2
       30     71808      46.9      74.3
       31    172005      58.2      77.2
       32    103166      51.1      76.3
       33    143612      55.4      69.9
       34     28722      28.2      59.1
       35    175335      57.5        45
       36     87157      48.2      25.6
       37    154886      56.9      40.4
       38    290411      66.5      39.8
       39     58082      45.9      44.9
       40    212966      61.4      53.3
       41    174247      57.7      61.1
       42     96804      48.9      73.4
       43    230329      64.3      77.8
       44    136528      53.1      76.6
       45    193608      59.8      68.6
       46     38722      45.6      62.4
       47    212309      63.9        50
       48    118796      52.3      42.3
