DOWN    UP      
UP      UP      
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
DOWN    UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    DOWN    
DOWN    UP      
UP      UP      
DOWN    DOWN    
UP      UP      
UP      UP      
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      DOWN    
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    UP      
UP      UP      
UP      UP      
UP      UP      
UP      DOWN    
DOWN    UP      
DOWN    UP      
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    UP      
UP      UP      
UP      DOWN    
UP      UP      
DOWN    DOWN    
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    UP      
UP      UP      
UP      UP      
DOWN    DOWN    
DOWN    DOWN    
DOWN    UP      
DOWN    DOWN    
UP      DOWN    
UP      DOWN    
DOWN    UP      
UP      UP      
UP      DOWN    
UP      UP      
UP      UP      
DOWN    DOWN    
UP      UP      
UP      DOWN    
DOWN    DOWN    
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    DOWN    
DOWN    UP      
UP      UP      
UP      UP      
DOWN    UP      
UP      DOWN    
UP      UP      
UP      UP      
UP      DOWN    
DOWN    DOWN    
DOWN    DOWN    
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
DOWN    DOWN    
UP      DOWN    
UP      DOWN    
DOWN    DOWN    
DOWN    DOWN    
UP      UP      
DOWN    UP      
UP      UP      
DOWN    DOWN    
DOWN    DOWN    
UP      DOWN    
DOWN    UP      
UP      DOWN    
UP      DOWN    
DOWN    DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    DOWN    
UP      DOWN    
DOWN    DOWN    
DOWN    UP      
UP      UP      
UP      UP      
DOWN    DOWN    
DOWN    DOWN    
UP      UP      
DOWN    UP      
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
UP      DOWN    
DOWN    DOWN    
UP      UP      
DOWN    UP      
UP      UP      
UP      UP      
UP      UP      
UP      DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    UP      
UP      DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
UP      UP      
DOWN    DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    UP      
DOWN    UP      
DOWN    UP      
DOWN    UP      
UP      UP      
UP      UP      
DOWN    DOWN    
DOWN    UP      
UP      DOWN    
DOWN    DOWN    
DOWN    DOWN    
UP      UP      
UP      UP      
UP      UP      
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
UP      UP      
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    DOWN    
UP      UP      
UP      UP      
DOWN    DOWN    
UP      UP      
DOWN    DOWN    
DOWN    UP      
DOWN    DOWN    
DOWN    DOWN    
UP      UP      
UP      DOWN    
DOWN    DOWN    
DOWN    UP      
DOWN    DOWN    
DOWN    DOWN    
UP      DOWN    
DOWN    DOWN    
DOWN    DOWN    
UP      UP      
UP      DOWN    
UP      UP      
DOWN    DOWN    
UP      DOWN    
DOWN    UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
UP      UP      
DOWN    UP      
UP      UP      
DOWN    UP      
DOWN    DOWN    
DOWN    DOWN    
UP      DOWN    
UP      UP      
DOWN    DOWN    
DOWN    DOWN    
UP      DOWN    
UP      UP      
