              1  10  2  5  1    
              2   2  1  1  5   
              3   7  3  7  2   
              4   1  6  2  3    
              5   2  5  9  4   
              6   6  4  4  8   
              7   5  8  2  7   
              8   7 10  6  9   
              9   9  7 10  6 
             10   2  8  7 10  
             11  10 11 11 11   
             12  12 12 12 12   
         
