                       1   1   10  
                       2   1    2  
                       3   1    7  
                       4   1    1  
                       5   1    2  
                       6   1    6  
                       7   1    5  
                       8   1    7  
                       9   1    9  
                      10   1    2  
                      11   1   10  
                      12   1   12  
                       1   2    2       
                       2   2    1       
                       3   2    3       
                       4   2    6       
                       5   2    5       
                       6   2    4       
                       7   2    8       
                       8   2   10       
                       9   2    7       
                      10   2    8       
                      11   2   11       
                      12   2   12       
