 0117      smallcity                1890                    1736     
 0087      recreational             2217                    2069     
 0166      smallcity                1444                    1345     
 0013      rural                    2105                    2049     
 0161      urban                    4905                    4815     
 0096      urban                    2022                    1958     
 0145      rural                     594                     548     
 0149      rural                     252                     229     
 0038      urban                    2162                    2048     
 0118      rural                    1938                    1748     
 0047      rural                     879                     811     
 0066      urban                    1913                    1772     
 0094      rural                    3494                    3403     
 0105      smallcity                1424                    1309     
 0113      smallcity                4571                    4425     
 0151      urban                    3494                    3359     
 0159      rural                    2222                    2137     
 0160      smallcity                1076                     989     
 0164      recreational             2167                    2039     
 0165      recreational             3350                    3123     
