 18803163      20.7       100         0 11.4
 18171162      13.9      77.8       1.6  3.8
 16213150      12.9      87.4       2.3  4.1
 11940345      30.3      98.8       1.2 32.6
 10834616      17.8      99.5         0  2.2
 10181124      25.1      99.8       0.2 11.1
  8229523      20.4        82       0.1 12.2
  7695198      17.7        73      24.7  6.4
  7088003       9.4      92.2       7.8  2.4
  5328142      26.2       100         0  7.5
  4965287      12.2      78.6      21.4  6.3
  4905123      12.7      63.6         0 27.0 
  3974881      10.5      94.1       5.4  8.7   
  3655292      13.9       100         0  2.1
  3505206      16.2      99.8       0.2  0.7
  3359650       6.4      99.8       0.2  2.1
  3264860      11.5      99.9       0.1  2.2
  3909177      15.7       100         0  2.6
  2987144      10.9       100         0  2.1
  2978628      10.3      74.9       0.1  3.2
  2733981       7.5      99.7       0.3  0.7
  2342992      16.2      69.9        30  6.4
  2107592      15.2      99.8       0.2  1.3
  2027648       8.6      97.6       2.4  0.1
  1945392       9.7      96.4       3.6  6.1
