    1974       1     926
    1975       2    1171
    1976       3    1663
    1977       4    2058
    1978       5    1892
    1979       6    1866
    1980       7    1414
    1981       8    1067
    1982       9     633
    1983      10     540
    1984      11     553
    1985      12     479
    1986      13     771
    1987      14     876
    1988      15     987
    1989      16    1232
    1990      17    1282
    1991      18    1233
    1992      19    1247
    1993      20    1339
    1994      21    1307
    1995      22    1303
    1996      23    1258
    1997      24    1378
    1998      25    1522
    1999      26    1543
    2000      27    1664
    2001      28    1770
    2002      29    1490
    2003      30    1671
    2004      31    1833
