        1         1        13
        1         2         5
        1         3         2
        1         4         3
        1         5         2
        1         6         3
        1         7         1
        1         8         2
        1         9         1
        1        10         1
        2         1        11
        2         2         6
        2         3         2
        2         4         3
        2         5         1
        2         6         3
        2         7         1
        2         8         2
        2         9         3
        2        10         1
        3         1         9
        3         2         5
        3         3         2
        3         4         1
        3         5         3
        3         6         2
        3         7         4
        3         8         2
        3         9         1
        3        10         1
