price,street,number,city,sqft,bedrooms,baths,corner,pool,lakeshore,foreclosed,recorded
507.9,Lake Powell,7105,Arlington,3597,3,2,0,1,1,0,9/18/2014
332.7,Lake Powell,7106,Arlington,3727,3,2,1,1,0,0,9/18/2014
603.5,Lake Powell,7107,Arlington,4480,4,3.5,0,1,1,0,9/18/2014
647.2,Lake Powell,7109,Arlington,4400,4,5.5,0,1,1,0,9/18/2014
602.8,Lake Powell,7111,Arlington,4350,3,2,0,1,1,0,9/18/2014
582.4,Lake Powell,7500,Arlington,4122,4,3,0,1,1,0,9/18/2014
333.3,Lake Powell,7505,Arlington,4074,3,2,0,1,0,0,9/18/2014
602.8,Lake Powell,7111,Arlington,5350,3,2,0,0,1,0,9/18/2014
580.8,Lake Powell,3500,Arlington,4122,4,3,0,1,1,0,9/19/2014
336.0,Lake Powell,3505,Arlington,4074,3,2,0,0,0,0,9/19/2014
327.8,Lake Powell,3507,Arlington,3615,4,3,0,0,0,0,9/19/2014
402.0,Lake Powell,3509,Arlington,4053,4,3,0,1,0,0,9/19/2014
514.2,Lake Powell,3511,Arlington,4859,4,3,0,1,0,0,9/19/2014
359.5,Lake Powell,3515,Arlington,4276,5,3.5,1,1,0,0,9/19/2014
548.4,Lake Powell,3508,Arlington,4501,5,5,0,1,1,0,9/19/2014
465.3,Lake Powell,3512,Arlington,3493,3,2,0,0,1,0,9/19/2014
609.7,Lake Powell,3516,Arlington,4719,4,4,0,1,1,0,9/19/2014
294.2,Lake Powell,3517,Arlington,3556,3,2,0,0,0,0,9/19/2014
323.3,Lake Powell,3519,Arlington,3888,3,2,0,0,0,0,9/19/2014
274.5,Lake Powell,3601,Arlington,3604,4,4,1,0,0,0,9/19/2014
482.0,Lake Powell,3600,Arlington,3452,4,3,0,1,1,0,9/19/2014
448.0,Lake Powell,3602,Arlington,3121,3,2,0,0,1,0,9/19/2014
313.1,Lake Powell,3603,Arlington,4063,4,4,0,0,0,0,9/19/2014
597.7,Lake Powell,3604,Arlington,4118,4,3.5,0,0,1,0,9/19/2014
240.3,Lake Powell,3605,Arlington,2664,3,2,1,0,0,0,9/19/2014
596.7,Lake Powell,3608,Arlington,4198,4,3,0,1,1,0,9/19/2014
323.7,Lake Powell,3609,Arlington,4029,4,3,1,0,0,0,9/19/2014
460.2,Lake Powell,3611,Arlington,4758,4,3,0,0,0,0,9/19/2014
680.1,Lake Powell,3612,Arlington,4801,4,3,0,1,1,0,9/19/2014
387.9,Lake Powell,3615,Arlington,3541,4,3,0,1,0,0,9/19/2014
343.4,Lake Powell,3617,Arlington,3301,4,3,0,0,0,0,9/19/2014
358.9,Lake Powell,3619,Arlington,3598,4,4.5,1,0,0,0,9/19/2014
585.0,Lake Powell,3618,Arlington,4432,4,5.5,0,1,1,0,9/19/2014
559.9,Lake Powell,3620,Arlington,3815,5,4,0,1,1,0,9/19/2014
407.9,Lake Powell,3621,Arlington,4167,4,3,1,1,0,0,9/19/2014
659.0,Lake Powell,3622,Arlington,3622,5,3,0,0,1,0,9/21/2014
579.2,Lake Powell,3700,Arlington,4393,4,4,0,0,1,0,9/21/2014
320.3,Lake Powell,3701,Arlington,3551,3,2,1,0,0,0,9/21/2014
578.6,Lake Powell,3704,Arlington,4101,4,3,0,1,1,0,9/21/2014
357.8,Lake Powell,3705,Arlington,3450,4,3,1,0,0,0,9/21/2014
601.0,Lake Powell,3708,Arlington,3494,4,4,0,1,1,0,9/21/2014
292.2,Lake Powell,3709,Arlington,3411,4,3,1,0,0,0,9/21/2014
589.1,Lake Powell,3712,Arlington,4213,4,5,0,1,1,0,9/21/2014
607.6,Lake Powell,3800,Arlington,4129,4,3,0,1,1,0,9/21/2014
494.7,Lake Powell,3801,Arlington,4918,4,3,1,0,0,0,9/21/2014
497.8,Lake Powell,3804,Arlington,3967,5,4,0,1,1,0,9/21/2014
340.5,Lake Powell,3803,Arlington,3819,4,4,0,1,0,0,9/21/2014
370.5,Lake Powell,3805,Arlington,4044,5,5,1,1,0,0,9/21/2014
570.9,Lake Powell,3806,Arlington,4105,4,3,0,0,1,0,9/21/2014
544.7,Lake Powell,3900,Arlington,4375,4,3,0,1,1,0,9/21/2014
326.9,Lake Powell,3901,Arlington,3640,4,2,1,1,0,0,9/21/2014
741.6,Lake Powell,3902,Arlington,5000,6,6,0,1,1,0,9/23/2014
356.6,Lake Powell,3903,Arlington,3400,4,3.5,0,1,0,0,9/23/2014
467.2,Lake Powell,3905,Arlington,5027,4,3,1,0,0,0,9/23/2014
567.0,Lake Powell,3906,Arlington,5027,4,4,0,0,1,0,9/23/2014
341.5,Lake Powell,4001,Arlington,3762,4,3,1,1,0,0,9/23/2014
1212.2,Lake Powell,4002,Arlington,6476,4,5,0,1,1,0,9/23/2014
273.5,Lake Powell,4003,Arlington,2959,4,3,0,1,0,0,9/23/2014
615.5,Lake Powell,4004,Arlington,4693,4,4.5,0,1,1,0,9/23/2014
341.1,Lake Powell,4005,Arlington,3572,4,3,1,0,0,0,9/23/2014
563.0,Lake Powell,4006,Arlington,4320,3,2,0,1,1,0,9/23/2014
386.0,Lake Powell,4007,Arlington,3621,5,4,1,1,0,0,9/23/2014
497.8,Lake Powell,4008,Arlington,3658,4,3,0,1,1,0,9/23/2014
430.1,Lake Powell,4009,Arlington,4052,4,3,0,1,0,0,9/23/2014
624.7,Lake Powell,4010,Arlington,5328,5,3,1,0,1,0,9/23/2014
1000.0,Surfside Ct,4102,Arlington,4614,5,5,0,1,1,0,9/23/2014
925.3,Surfside Ct,4104,Arlington,4672,4,4,0,1,1,0,9/23/2014
1041.9,Surfside Ct,4106,Arlington,5244,4,4,0,1,1,0,9/23/2014
709.3,Surfside Ct,4108,Arlington,6084,5,4,0,1,1,0,9/23/2014
1055.3,Surfside Ct,4110,Arlington,6577,6,5,0,1,1,0,9/23/2014
915.6,Surfside Ct,4112,Arlington,5468,4,5,0,1,1,0,9/23/2014
568.7,Surfside Ct,4114,Arlington,4488,4,5,0,1,1,0,9/23/2014
617.6,Surfside Ct,4155,Arlington,4848,4,4.5,0,0,0,0,9/23/2014
449.9,Balboa Ct,4100,Arlington,4505,5,4,0,1,0,1,9/23/2014
401.6,Balboa Ct,4102,Arlington,3307,4,2,1,0,0,0,9/24/2014
663.5,Balboa Ct,4103,Arlington,4994,5,4,0,1,0,0,9/24/2014
393.1,Balboa Ct,4104,Arlington,3199,4,2,1,0,0,0,9/24/2014
482.7,Balboa Ct,4105,Arlington,4560,4,4,0,0,0,0,9/24/2014
407.8,Balboa Ct,4106,Arlington,3335,4,4,0,0,0,0,9/24/2014
408.9,Balboa Ct,4108,Arlington,3528,4,2,0,0,0,0,9/24/2014
379.9,Balboa Ct,4200,Arlington,3593,4,3,0,1,0,0,9/24/2014
440.4,Balboa Ct,4202,Arlington,4045,3,4.5,0,0,0,0,9/24/2014
567.4,Balboa Ct,4206,Arlington,4800,4,4.5,0,0,0,0,9/24/2014
369.1,Balboa Ct,4207,Arlington,3286,4,3,0,1,0,0,9/24/2014
