Magnatude	Date_Time Depth	Depth
2	2015/05/06 15:42:51 HST	2.3
1.7	2015/05/06 15:21:28 HST	11.2
0.7	2015/05/06 14:50:28 HST	3.2
2.2	2015/05/06 14:28:39 HST	2.6
2	2015/05/06 14:21:43 HST	2.6
1.8	2015/05/06 11:51:53 HST	3.9
0.7	2015/05/06 11:51:36 HST	3.3
1	2015/05/06 11:23:11 HST	1.3
0.9	2015/05/06 10:44:02 HST	1.6
2.5	2015/05/06 10:13:36 HST	2.8
1.2	2015/05/06 08:45:53 HST	0.7
1.2	2015/05/06 08:41:33 HST	1.5
0.6	2015/05/06 08:00:22 HST	1.4
0.9	2015/05/06 07:31:30 HST	3.2
0.5	2015/05/06 07:23:14 HST	2.6
1.3	2015/05/06 07:16:04 HST	5.1
0.9	2015/05/06 06:38:52 HST	3
1	2015/05/06 06:17:47 HST	2.3
1.5	2015/05/06 06:09:31 HST	1.2
1.2	2015/05/06 06:08:09 HST	3.3
0.6	2015/05/06 05:56:52 HST	1.2
1.2	2015/05/06 05:54:07 HST	2.4
1.1	2015/05/06 05:43:13 HST	2.1
0.6	2015/05/06 05:19:49 HST	3
1.7	2015/05/06 05:18:53 HST	2.9
2.2	2015/05/06 04:52:34 HST	26.2
0.4	2015/05/06 04:48:26 HST	3.4
1.2	2015/05/06 04:03:57 HST	2.8
1.3	2015/05/06 03:45:16 HST	2.1
1.3	2015/05/06 03:31:52 HST	1
1.2	2015/05/06 02:55:21 HST	3.2
0.4	2015/05/06 02:41:38 HST	3.3
0.9	2015/05/06 02:08:17 HST	2.2
1.5	2015/05/06 01:33:54 HST	1.1
0.5	2015/05/06 01:22:31 HST	2.1
0.6	2015/05/06 01:15:32 HST	3.5
0.4	2015/05/06 01:15:19 HST	2
0.6	2015/05/06 00:21:07 HST	0
0.4	2015/05/06 00:09:29 HST	2.2
1.1	2015/05/05 23:54:18 HST	1.3
0.3	2015/05/05 23:53:19 HST	2.3
1	2015/05/05 22:39:50 HST	2.6
0.6	2015/05/05 22:27:24 HST	0.8
0.9	2015/05/05 22:23:28 HST	2.6
1.2	2015/05/05 22:20:26 HST	2.9
1.5	2015/05/05 22:15:23 HST	2.3
0.2	2015/05/05 22:00:12 HST	0.1
1.3	2015/05/05 21:55:08 HST	2.2
0.8	2015/05/05 21:51:13 HST	2.3
0.7	2015/05/05 21:45:18 HST	2.4
0.6	2015/05/05 21:42:20 HST	4.1
0.6	2015/05/05 21:37:43 HST	1.8
0.9	2015/05/05 21:36:37 HST	1.8
0.6	2015/05/05 21:30:58 HST	4.2
0.9	2015/05/05 21:30:28 HST	2.6
0.5	2015/05/05 21:26:23 HST	3
2.2	2015/05/05 21:06:50 HST	2.6
0.4	2015/05/05 21:00:54 HST	2.1
0.9	2015/05/05 20:58:46 HST	2.3
0.4	2015/05/05 20:45:32 HST	2.4
1.3	2015/05/05 20:39:25 HST	1.9
1.5	2015/05/05 20:38:23 HST	2.2
1.2	2015/05/05 20:36:05 HST	5.5
0.6	2015/05/05 20:33:20 HST	1
0.9	2015/05/05 20:22:56 HST	2.7
1.3	2015/05/05 20:20:28 HST	2
0.3	2015/05/05 20:10:40 HST	1.9
1.4	2015/05/05 20:02:57 HST	2.4
0.8	2015/05/05 20:02:24 HST	7.1
2.1	2015/05/05 19:54:58 HST	2.6
0.4	2015/05/05 19:51:26 HST	2.8
0.9	2015/05/05 19:48:04 HST	2.4
0.6	2015/05/05 19:39:56 HST	3.6
2.3	2015/05/05 19:24:35 HST	12.8
1	2015/05/05 19:09:03 HST	2.7
1.4	2015/05/05 19:08:03 HST	4.1
1.9	2015/05/05 18:56:28 HST	2.4
1.3	2015/05/05 18:31:33 HST	24.7
0.8	2015/05/05 17:59:56 HST	2.5
0.4	2015/05/05 17:53:32 HST	2.7
1.2	2015/05/05 17:51:35 HST	2.1
1.1	2015/05/05 17:43:32 HST	2.7
1.1	2015/05/05 17:34:14 HST	3.3
0.7	2015/05/05 17:05:50 HST	6.1
0.9	2015/05/05 16:49:43 HST	0.6
0.9	2015/05/05 16:22:15 HST	2.1
1.8	2015/05/05 16:19:07 HST	1.7
1.1	2015/05/05 16:18:12 HST	2.6
1	2015/05/05 16:02:50 HST	10.9
1.2	2015/05/05 15:40:09 HST	3.4
0.9	2015/05/05 15:24:28 HST	2.5
0.7	2015/05/05 15:24:04 HST	5.3
0.1	2015/05/05 15:12:20 HST	1.6
2.6	2015/05/05 15:09:00 HST	2.5
0.5	2015/05/05 14:58:48 HST	1.6
0.6	2015/05/05 14:51:47 HST	1.4
2.1	2015/05/05 14:48:59 HST	2.5
1.6	2015/05/05 14:35:05 HST	2.9
0.9	2015/05/05 14:07:33 HST	2.2
1.3	2015/05/05 14:03:58 HST	0.5
