Year	Sales	SalesM	Log10[SalesM]
2006	31381607	31.3816	1.4967
2006	34721871	34.7219	1.5406
2006	47273690	47.2737	1.6746
2006	14224064	14.2241	1.1530
2006	15955499	15.9555	1.2029
2006	15107010	15.1070	1.1792
2006	17711434	17.7114	1.2483
2006	16790423	16.7904	1.2251
2006	19463662	19.4637	1.2892
2006	18474146	18.4741	1.2666
2006	22188202	22.1882	1.3461
2006	22245953	22.2460	1.3473
2006	26457501	26.4575	1.4225
2006	26782641	26.7826	1.4279
2006	31429654	31.4297	1.4973
2006	33489255	33.4893	1.5249
2006	45279344	45.2793	1.6559
2006	14573640	14.5736	1.1636
2006	16051546	16.0515	1.2055
