Year	Month	Deviations
1901	7	0.1359
1901	8	0.0958
1901	9	-0.026
1901	10	-0.3716
1901	11	0.2223
1901	12	-0.145
1902	1	0.4407
1902	2	0.5563
1902	3	0.0436
1902	4	-0.4492
1902	5	-0.239
1902	6	-0.2313
1902	7	-0.2662
1902	8	-0.2409
1902	9	-0.1354
1902	10	-0.3186
1902	11	-0.6093
1902	12	-0.6388
1903	1	-0.0727
1903	2	0.4652
1903	3	-0.3202
1903	4	-0.5081
1903	5	-0.4997
1903	6	-0.4818
1903	7	-0.364
1903	8	-0.3198
1903	9	-0.2615
1903	10	-0.5111
1903	11	-0.3787
1903	12	-0.4247
1904	1	-0.65
1904	2	-0.2782
1904	3	-0.4399
1904	4	-0.5534
1904	5	-0.2775
1904	6	-0.3153
1904	7	-0.3577
1904	8	-0.2274
1904	9	-0.4415
1904	10	-0.3622
1904	11	0.4977
1904	12	0.0621
1905	1	-0.1896
1905	2	-1.1054
1905	3	-0.6059
1905	4	-0.7216
1905	5	-0.3345
1905	6	-0.2555
1905	7	-0.1017
1905	8	-0.0674
1905	9	-0.081
1905	10	-0.2929
1905	11	0.2866
1905	12	-0.0447
1906	1	-0.2837
1906	2	-0.6856
1906	3	-0.1006
1906	4	0.2987
1906	5	0.0918
1906	6	0.1845
1906	7	-0.1523
1906	8	0.005
1906	9	-0.1411
1906	10	-0.0853
1906	11	-0.4542
1906	12	0.3882
1907	1	-0.5485
1907	2	-0.6127
1907	3	-0.3331
1907	4	-0.62
1907	5	-0.7728
1907	6	-0.6025
1907	7	-0.4695
1907	8	-0.2337
1907	9	-0.2307
1907	10	-0.1961
1907	11	-0.7836
1907	12	-0.4829
1908	1	-0.2148
1908	2	-0.1364
1908	3	-0.946
1908	4	-0.5954
1908	5	-0.1692
1908	6	-0.2729
1908	7	-0.123
1908	8	-0.2857
1908	9	-0.0885
1908	10	-0.4748
1908	11	-0.5392
1908	12	-0.1924
1909	1	-0.9168
1909	2	-0.4336
1909	3	-0.6642
1909	4	-0.7257
1909	5	-0.4557
1909	6	-0.2048
1909	7	-0.1043
1909	8	0.2068
1909	9	-0.0684
1909	10	-0.1335
1909	11	0.4198
1909	12	-0.2025
1910	1	-0.1525
1910	2	-0.2664
1910	3	-0.4179
1910	4	-0.1565
1910	5	-0.1906
1910	6	-0.2106
1910	7	0.0662
1910	8	-0.0346
1910	9	-0.1877
1910	10	-0.3212
1910	11	-0.5574
1910	12	-0.7919
1911	1	-0.6659
1911	2	-0.5825
1911	3	-0.8039
1911	4	-0.4052
1911	5	-0.3698
1911	6	-0.3076
1911	7	-0.3455
1911	8	-0.2683
1911	9	-0.209
1911	10	-0.1656
1911	11	-0.1426
1911	12	-0.2581
1912	1	-0.2667
1912	2	0.1948
1912	3	-0.8125
1912	4	-0.1347
1912	5	-0.0944
1912	6	-0.0688
1912	7	-0.376
1912	8	-0.5302
1912	9	-0.6548
1912	10	-0.8581
1912	11	-0.3361
1912	12	-0.4277
1913	1	-0.4486
1913	2	-0.6305
1913	3	-0.5307
1913	4	-0.2489
1913	5	-0.4246
1913	6	-0.2737
1913	7	-0.1345
1913	8	-0.0507
1913	9	-0.2426
1913	10	-0.3077
1913	11	0.3183
1913	12	0.6621
1914	1	1.0476
1914	2	0.2226
1914	3	-0.0632
1914	4	-0.1893
1914	5	0.1887
1914	6	0.0281
1914	7	-0.0224
1914	8	-0.0645
1914	9	0.0123
1914	10	0.0762
1914	11	-0.2572
1914	12	-0.1408
1915	1	-0.2845
1915	2	0.109
1915	3	-0.1273
1915	4	0.293
1915	5	0.145
1915	6	-0.0319
1915	7	0.0575
1915	8	-0.0052
1915	9	-0.1247
1915	10	-0.4894
1915	11	0.3279
1915	12	0.3532
1916	1	-0.002
1916	2	-0.1263
1916	3	-0.4777
1916	4	-0.2029
1916	5	-0.2032
1916	6	-0.3333
1916	7	-0.1155
1916	8	-0.1417
1916	9	-0.1523
1916	10	-0.1367
1916	11	-0.4168
1916	12	-1.2
1917	1	-0.4366
1917	2	-0.6254
1917	3	-0.6619
1917	4	-0.4101
1917	5	-0.5753
1917	6	-0.3551
1917	7	-0.1144
1917	8	-0.2691
1917	9	-0.1522
1917	10	-0.6261
1917	11	0.1027
1917	12	-1.1998
1918	1	-0.3007
1918	2	-0.3671
1918	3	-0.1994
1918	4	-0.6001
1918	5	-0.5283
1918	6	-0.2825
1918	7	-0.2167
1918	8	-0.0967
1918	9	-0.0791
1918	10	0.0599
1918	11	-0.3291
1918	12	-0.7957
1919	1	-0.5998
1919	2	-0.1146
1919	3	-0.4607
1919	4	0.1114
1919	5	-0.278
1919	6	-0.2255
1919	7	0.0134
1919	8	0.0268
1919	9	-0.0342
1919	10	-0.1336
1919	11	-0.5684
