Rank  	City  	State  	Population  	Density (per mi2)  
139	Overland Park	Kansas	169,403	2,629.3
140	Tallahassee	Florida	168,979	1,573.9
141	Oceanside	California	168,602	3,966.2
142	Garden Grove	California	165,610	9,177.6
143	Vancouver	Washington	161,436	3,354.2
144	Grand Prairie	Texas	158,422	1,784.7
145	Cape Coral	Florida	156,981	972.3
146	Rockford	Illinois	156,596	2,680.6
147	Dayton	Ohio	155,461	2,978.1
148	Springfield	Missouri	154,777	2,070.8
149	Santa Rosa	California	154,241	3,680.7
150	Pomona	California	152,631	6,555.8
151	Salem	Oregon	151,913	2,996.1
152	Sioux Falls	South Dakota	151,505	2,202.0
153	Port St. Lucie	Florida	151,391	1,175.1
154	Corona	California	150,308	3,555.5
155	Springfield	Massachusetts	149,938	4,737.8
156	Eugene	Oregon	149,004	3,404.8
157	Pembroke Pines	Florida	146,828	4,151.9
158	Peoria	Arizona	146,743	784.1
159	Paterson	New Jersey	146,545	17,764.5
160	Pasadena	Texas	146,518	3,205.3
161	Hamptond[›]	Virginia	146,439	2,827.0
162	Joliet	Illinois	144,316	2,788.0
163	Lancaster	California	143,616	1,263.0
164	Salinas	California	143,517	7,950.5
165	Pasadena	California	143,400	5,798.1
166	Naperville	Illinois	142,479	3,625.9
167	Hollywood	Florida	142,473	5,104.7
168	Kansas City	Kansas	142,320	1,181.5
169	Torrance	California	141,420	6,729.1
170	Hayward	California	140,943	3,160.9
171	Palmdale	California	140,882	1,111.1
172	Lakewood	Colorado	140,305	3,464.6
173	Alexandriad[›]	Virginia	140,024	8,439.7
174	Syracuse	New York	139,079	5,868.8
175	Bridgeport	Connecticut	136,695	8,720.6
176	Escondido	California	136,246	3,679.3
177	Orange	California	134,299	5,505.2
178	Warren	Michigan	134,223	4,030.5
179	Fort Collins	Colorado	133,899	2,551.7
180	Fullerton	California	132,066	5,675.8
181	Mesquite	Texas	131,738	2,869.2
182	Elk Grove	California	131,212	3,947.0
183	Sunnyvale	California	131,140	6,016.4
184	Savannah	Georgia	130,331	1,760.5
185	Sterling Heights	Michigan	127,349	3,400.8
186	McAllen	Texas	127,245	2,313.3
187	Coral Springs	Florida	126,875	4,918.4
188	Cedar Rapids	Iowa	126,396	1,913.8
189	Elizabeth	New Jersey	124,862	9,882.6
190	Columbia	South Carolina	124,818	928.7
191	Hartford	Connecticut	124,563	7,027.6
192	New Haven	Connecticut	123,932	6,541.1
193	Carrollton	Texas	123,799	3,002.1
194	Thousand Oaks	California	123,349	2,131.2
195	Topeka	Kansas	122,642	2,185.3
196	West Valley City	Utah	122,374	3,076.2
197	El Monte	California	122,272	12,079.7
198	Waco	Texas	122,222	1,350.7
199	Cary	North Carolina	121,796	2,246.0
200	Bellevue	Washington	121,347	3,569.0
201	Concord	California	120,844	4,045.8
202	Simi Valley	California	120,464	2,840.6
203	Clarksville	Tennessee	119,284	1,090.1
204	Visalia	California	118,603	3,204.2
205	Stamford	Connecticut	118,475	3,105.6
206	Olathe	Kansas	118,034	1,716.4
207	Provo	Utah	117,592	2,655.7
208	Springfield	Illinois	117,090	2,064.0
209	Evansville	Indiana	116,253	2,987.3
210	Abilene	Texas	116,219	1,103.0
211	McKinney	Texas	115,620	937.0
212	Vallejo	California	115,552	3,866.2
213	Denton	Texas	115,506	1,309.7
214	Ann Arbor	Michigan	115,092	4,223.1
215	Lansing	Michigan	114,947	3,403.7
216	Flint	Michigan	114,662	3,718.5
217	Gainesville	Florida	114,375	1,981.0
218	Peoria	Illinois	113,546	2,543.6
219	Lafayette	Louisiana	113,544	2,316.3
220	Inglewood	California	113,376	12,371.4
221	Athensa[›]	Georgia	112,760	851.2
222	Killeen	Texas	112,434	2,458.9
223	Thornton	Colorado	110,880	3,066.7
224	Independence	Missouri	110,704	1,446.8
225	Charleston	South Carolina	110,015	996.5
226	Santa Clara	California	109,756	5,563.1
227	Beaumont	Texas	109,579	1,339.6
228	Costa Mesa	California	108,978	6,969.5
229	Manchester	New Hampshire	108,874	3,242.6
230	Roseville	California	108,759	2,622.5
231	Miramar	Florida	108,240	2,465.8
232	Downey	California	108,109	8,655.1
