Ship Name,Cruise Line,Score
Sapphire Princess,Princess Cruises,99
Sea Bird,Lindblad Expeditions,99
Sea Lion,Lindblad Expeditions,98
Sea Princess,Princess Cruises,96
Seabourn Legend,Seabourn Cruise Line,98
Seabourn Pride,Seabourn Cruise Line,96
Seabourn Spirit,Seabourn Cruise Line,98
Seadream I,Sea Dream Yacht Club,96
Seadream II,Sea Dream Yacht Club,96
Sensation,"Carnival Cruise Lines, Inc.",97
Serenade Of The Seas,Royal Caribbean International,99
Seven Seas Mariner,Radisson Seven Seas Cruises,94
Seven Seas Navigator,Radisson Seven Seas Cruises,94
Seven Seas Voyager,Radisson Seven Seas Cruises,100
Silver Cloud,Silversea Cruises Ltd,91
Silver Shadow,Silversea Cruises Ltd,99
Silver Whisper,Silversea Cruises Ltd,97
Silver Wind,Silversea Cruises Ltd,99
Sovereign Of The Seas,Royal Caribbean International,98
Spirit Of Columbia,Cruise West D.B.A. West Travel Inc.,97
Spirit Of Endeavor,Cruise West D.B.A. West Travel Inc.,97
Spirit of Glacier Bay,Cruise West D.B.A. West Travel Inc.,92
Spirit Of Oceanus,Cruise West D.B.A. West Travel Inc.,94
Spirit Of Yorktown,Cruise West D.B.A. West Travel Inc.,87
Splendour Of The Seas,Royal Caribbean International,97
Stad Amsterdam,Stad Amsterdam,56
Star Princess,Princess Cruises,100
Statendam,Holland America Line,90
Sun Princess,Princess Cruises,94
Tahitian Princess,Princess Cruises,97
The World,Residensea,100
TSS Topaz,"Kyma Ship Management, Inc.",93
Veendam,Holland America Line,94
Vision Of The Seas,Royal Caribbean International,97
Vistamar,Hotel Playaventura S.l. /Vistamar Canarias S.L.,86
Volendam,Holland America Line,95
Voyager Of The Seas,Royal Caribbean International,97
Westerdam,Holland America Line,98
Wind Spirit,Wind Star Sail Cruises,88
Wind Surf,Wind Star Sail Cruises,95
Zaandam,Holland America Line,99
Zuiderdam,Holland America Line,96
