1     .0440 A
2     .0446 A
3     .0437 A
4     .0438 A
5     .0425 A
6     .0443 A
7     .0453 A
8     .0428 A
9     .0433 A
10    .0451 A
11    .0441 A
12    .0434 A
13    .0459 A
14    .0466 A
15    .0476 A
16    .0449 A
17    .0471 A
18    .0451 A
19    .0472 A
20    .0477 A
21    .0452 A
22    .0457 A
23    .0459 A
24    .0472 A
25    .0464 A
26    .0457 A
27    .0447 A
28    .0451 A
29    .0447 A
30    .0457 A
31    .0456 A
32    .0455 A
33    .0445 A
34    .0448 A
35    .0423 A
36    .0442 A
37    .0459 A
38    .0468 A
39    .0452 A
40    .0456 A
41    .0471 A
42    .0450 A
43    .0472 A
44    .0465 A
45    .0461 A
46    .0462 A
47    .0463 A
48    .0471 A
49    .0427 A
50    .0437 A
51    .0445 A
52    .0431 A
53    .0448 A
54    .0429 A
55    .0425 A
56    .0442 A
57    .0432 A
58    .0429 A
59    .0447 A
60    .0450 A
61    .0443 A
62    .0441 A
63    .0450 A
64    .0443 A
65    .0423 A
66    .0447 A
67    .0429 A
68    .0427 A
69    .0464 A
70    .0448 A
71    .0451 A
72    .0428 A
1     .0445 N
2     .0455 N
3     .0457 N
4     .0435 N
5     .0453 N
6     .0450 N
7     .0438 N
8     .0459 N
9     .0428 N
10    .0449 N
11    .0449 N
12    .0467 N
13    .0433 N
14    .0461 N
15    .0451 N
16    .0455 N
17    .0454 N
18    .0461 N
19    .0455 N
20    .0458 N
21    .0445 N
22    .0445 N
23    .0451 N
24    .0436 N
25    .0443 N
26    .0450 N
27    .0441 N
28    .0449 N
29    .0448 N
30    .0467 N
31    .0465 N
32    .0449 N
33    .0448 N
34    .0461 N
35    .0439 N
36    .0452 N
37    .0443 N
38    .0434 N
39    .0454 N
40    .0456 N
41    .0459 N
42    .0452 N
43    .0447 N
44    .0442 N
45    .0457 N
46    .0454 N
47    .0445 N
48    .0451 N
49    .0445 N
50    .0471 N
51    .0465 N
52    .0438 N
53    .0445 N
54    .0472 N
55    .0453 N
56    .0444 N
57    .0451 N
58    .0455 N
59    .0435 N
60    .0443 N
61    .0440 N
62    .0438 N
63    .0444 N
64    .0444 N
65    .0450 N
66    .0467 N
67    .0445 N
68    .0447 N
69    .0461 N
70    .0450 N
71    .0463 N
72    .0456 N
