        1         1      3394
        1         2      4010
        1         3       924
        1         4       205
        1         5       293
        1         6      1130
        1         7      1116
        1         8      4009
        1         9      5692
        1        10      3458
        1        11      2849
        1        12      3470
        2         1      4568
        2         2      3710
        2         3      1675
        2         4       999
        2         5       986
        2         6      1786
        2         7      2253
        2         8      5237
        2         9      6679
        2        10      4116
        2        11      4109
        2        12      5124
