   75.22      50
   64.98      45
   49.62      50
   44.51      55
   70.10      50
   54.74      60
   55.98      55
   21.24      60
   59.86      50
   70.10      50
   29.00      70
   64.98      45
   36.75      40
   35.45      40
   45.75      50
   40.57      50
   44.51      40
   64.98      50
   23.92      60
   66.22      80
   70.10      40
   29.00      55
   43.15      50
   21.24      58
   54.74      40
   43.11      70
   50.87      60
   46.99      40
   25.12      55
   43.11      55
   41.87      60
   34.12      50
   63.68      60
   32.87      65
   44.51      24
   49.62      60
   66.22      38
   54.74      45
   55.98      50
   36.75      40
   41.87      45
   44.51      45
   59.86      40
   49.62      45
   50.87      50
   61.10      60
   44.51      50
   45.75      60
   49.62      55
   41.87      50
   49.62      60
   49.62      50
   18.84      70
   40.63      50
   49.62      50
   21.24      60
   55.98      40
   54.74      55
   32.91      60
   36.75      50
   54.68      43
   55.98      40
   29.00      50
   21.24      40
   64.98      55
   49.62      40
   40.63      60
   36.75      60
   55.98      65
   61.10      55
   49.62      50
   32.87      50
   45.75      45
   36.75      45
   59.86      45
   32.87      50
   32.87      50
   36.75      50
   29.00      55
   22.58      65
   64.98      40
   53.44      50
   59.86      48
   41.87      40
   50.87      42
   50.87      50
   44.45      75
   32.87      50
   27.79      40
   46.99      50
   50.87      50
   34.21      45
   44.51      40
   54.74      50
   36.75      45
   37.99      55
   40.63      50
   54.74      60
   54.74      50
   59.86      45
   37.99      20
   52.11      55
   50.87      55
   36.75      50
   26.46      60
   63.68      35
   40.63      55
   29.00      50
   29.00      45
   40.63      50
   39.33      50
   45.75      50
   30.33      50
   25.12      45
   75.22      42
   50.87      60
   54.74      40
   70.10      40
   59.86      45
   48.23      55
   41.87      55
   46.99      55
   32.87      45
   52.11      50
   37.99      75
   18.70      50
   26.46      50
   64.98      60
   70.10      40
   45.75      70
   45.75      40
   36.79      40
   49.62      40
   26.46      52
   39.33      48
   46.99      60
   31.58      60
   54.74      45
   44.51      40
   50.87      45
   41.87      40
   27.70      70
   50.87      65
   32.87      20
   41.87      75
   31.58      85
   50.87      25
   36.75      60
   64.98      75
   40.63      45
   29.00      60
   45.75      45
   29.00      55
   29.00      50
   44.51      55
   63.68      40
   49.62      45
   29.00      45
   61.10      45
   49.62      25
   41.87      50
   64.98      40
   59.86      40
   44.51      40
   26.46      60
   40.63      60
   50.87      40
   40.63      40
   59.86      50
   41.87      60
   54.74      42
   41.87      45
   64.98      50
   29.00      45
   44.51      50
   55.98      45
   38.03      60
   50.87      45
   30.24      75
   41.87      45
   13.62      50
   45.75      40
   50.87      40
   59.86      45
   49.57      50
   44.51      50
   55.98      50
   43.11      55
   44.51      60
   37.99      45
   32.87      60
   54.74      40
   36.75      50
   45.75      45
   48.23      40
   34.12      45
   50.87      50
   45.75      60
   46.99      40
   35.45      84
   50.87      50
   75.22      45
   49.62      55
   59.86      55
   49.62      65
   26.46      48
   32.87      55
   40.57      70
   59.86      45
   61.10      50
   40.57      50
   64.98      40
   20.04      45
   36.75      55
   46.99      45
   32.87      45
   58.56      60
   46.99      50
   40.63      50
   64.98      50
   37.99      50
   14.96      60
   45.75      40
   59.86      50
   54.74      45
   32.87      55
   45.75      50
   55.98      40
   75.22      50
   45.75      50
   50.87      35
   45.75      55
   36.75      55
   59.86      50
   49.62      65
   59.86      50
   55.98      50
   40.63      50
   36.75      50
   27.79      65
   59.86      40
   14.96      70
   39.23      55
   44.51      40
   32.87      40
   41.87      60
   54.74      45
   36.75      70
   40.63      40
