time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2014-01-07T18:30:52.600Z,19.4353,-155.3263,5.8,1.8,Ml,,104.4,0.03593261,0.08,hv,hv60617291,2014-01-08T02:48:43.870Z,"9km W of Volcano, Hawaii",earthquake
2014-01-07T18:32:49.300Z,19.4388,-155.3303,3.9,2.3,Ml,,90,0.04491576,0.2,hv,hv60617296,2014-01-07T18:38:39.299Z,"9km W of Volcano, Hawaii",earthquake
2014-01-08T05:47:42.300Z,19.4132,-155.2722,0.3,0.5,Md,,169.2,0.00898315,0.03,hv,hv60617596,2014-01-14T20:59:42.205Z,"4km WSW of Volcano, Hawaii",earthquake
2014-01-08T06:19:26.100Z,19.4313,-155.3302,4.8,1.8,ml,,86.39999309,0.03593261,0.25,hv,hv60617616,2014-01-08T06:25:14.000Z,"9km W of Volcano, Hawaii",earthquake
2014-01-08T06:46:10.500Z,19.3878,-155.2448,1.8,1.9,Ml,,82.8,0.01796631,0.18,hv,hv60617626,2014-01-08T06:51:56.232Z,"4km S of Volcano, Hawaii",earthquake
2014-01-08T11:54:25.400Z,19.4073,-155.2632,1.6,2.1,ml,,39.59999683,0.008983153,0.14,hv,hv60617701,2014-01-08T12:00:12.000Z,"3km SW of Volcano, Hawaii",earthquake
2014-01-08T12:56:43.800Z,19.3723,-155.2602,31.5,2.2,Ml,,50.4,0,0.19,hv,hv60617711,2014-01-08T13:02:29.827Z,"6km SSW of Volcano, Hawaii",earthquake
2014-01-08T13:53:06.300Z,19.3643,-155.2693,29.9,1.5,Md,,68.4,0.04491576,0.07,hv,hv60617751,2014-01-08T19:41:54.489Z,"8km SSW of Volcano, Hawaii",earthquake
2014-01-08T17:42:19.800Z,19.4042,-155.2817,1.6,1.7,Md,,54,0.00898315,0.11,hv,hv60617826,2014-01-08T17:45:21.498Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-09T01:36:03.200Z,19.4788,-155.4418,2.8,1.8,Md,,61.2,0.05389892,0.21,hv,hv60617941,2014-01-09T01:39:14.381Z,"22km WNW of Volcano, Hawaii",earthquake
2014-01-09T02:12:10.800Z,19.3848,-155.2442,2.7,1.9,ml,,82.79999338,0.008983153,0.15,hv,hv60617961,2014-01-09T02:17:54.000Z,"5km S of Volcano, Hawaii",earthquake
2014-01-09T02:22:28.400Z,19.415,-155.2825,7.1,2.2,Ml,,28.8,0,0.26,hv,hv60617971,2014-01-09T02:28:14.811Z,"5km WSW of Volcano, Hawaii",earthquake
2014-01-09T04:09:15.400Z,19.3853,-155.2742,2.8,2.1,ml,,46.79999626,0.008983153,0.3,hv,hv60618016,2014-01-09T04:15:07.000Z,"6km SW of Volcano, Hawaii",earthquake
2014-01-09T08:45:37.900Z,19.2148,-155.4018,33.7,2,Md,,165.6,0.02694946,0.16,hv,hv60618136,2014-01-09T08:49:07.394Z,"8km E of Pahala, Hawaii",earthquake
2014-01-09T12:06:25.200Z,19.3802,-155.263,4,0.5,Md,,108,0.00898315,0.26,hv,hv60618176,2014-01-09T20:12:44.310Z,"6km SSW of Volcano, Hawaii",earthquake
2014-01-09T13:14:50.500Z,19.3197,-155.1603,34.1,1.8,Md,,100.8,0.04491576,0.14,hv,hv60618241,2014-01-09T13:18:42.624Z,"14km SSE of Volcano, Hawaii",earthquake
2014-01-09T14:25:16.700Z,19.3795,-155.2827,2.5,1.8,Ml,,90,0.00898315,0.15,hv,hv60618256,2014-01-09T14:31:01.612Z,"7km SW of Volcano, Hawaii",earthquake
2014-01-09T14:25:43.500Z,19.3808,-155.2822,2.4,1.9,Ml,,79.2,0.00898315,0.08,hv,hv60618261,2014-01-09T21:28:58.799Z,"7km SW of Volcano, Hawaii",earthquake
2014-01-09T21:17:27.100Z,19.365,-155.0825,1.5,2.5,Ml,,147.6,0.02694946,0.2,hv,hv60618436,2014-01-09T21:23:39.398Z,"16km S of Fern Acres, Hawaii",earthquake
2014-01-09T23:51:19.500Z,19.409,-155.3215,4.1,2.1,Ml,,43.2,0.01796631,0.31,hv,hv60618551,2014-01-09T23:57:05.553Z,"9km WSW of Volcano, Hawaii",earthquake
2014-01-10T01:41:08.000Z,19.42,-155.3188,4.9,2,Ml,,46.8,0.01796631,0.25,hv,hv60618631,2014-01-10T01:46:57.853Z,"8km W of Volcano, Hawaii",earthquake
2014-01-10T07:04:14.800Z,19.4132,-155.2803,1,1.9,Ml,,57.6,0,0.37,hv,hv60618906,2014-01-10T07:10:04.983Z,"4km WSW of Volcano, Hawaii",earthquake
2014-01-10T08:27:28.200Z,19.5857,-155.4,6.8,1.8,Md,,93.6,0.08084838,0.32,hv,hv60618936,2014-01-10T08:30:39.008Z,"24km NW of Volcano, Hawaii",earthquake
2014-01-10T17:11:44.800Z,19.4097,-155.2717,6.8,2.2,Ml,,46.8,0.00898315,0.08,hv,hv60619031,2014-01-10T23:13:23.907Z,"4km WSW of Volcano, Hawaii",earthquake
2014-01-11T02:59:01.700Z,19.3325,-155.052,3.1,1.7,Md,,194.4,0.07186522,0.21,hv,hv60619376,2014-01-11T03:02:25.364Z,"20km SW of Leilani Estates, Hawaii",earthquake
